"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"worms_aphia_id";"fides_area";"area";"area_bis";"tac_area_description";"comments";"latin_name_join"
"25";"North Sea and Eastern Arctic";"Tusk";"Brosme brosme";"ICES";NA;"USK";"126447";"1214EI";"1, 2";"27_1,27_2";"EC and International Waters of I-II and XIV";"FIDES match (area <)";"Brosme brosme"
"26";"North Sea and Eastern Arctic";"Herring";"Clupea harengus";"ICES";NA;"HER";"126417";"1/2-";"1, 2";"27_1,27_2";"";"FIDES match";"Clupea harengus"
"27";"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"126436";"1/2B.,1N2AB.";"1, 2";"27_1,27_2";"I-IIb)";"FIDES match";"Gadus morhua"
"28";"North Sea and Eastern Arctic";"Tope";"Galeorhinus galeus";"ICES";NA;"GAG";"105820";"No TAC";"1, 2";"27_1,27_2";"";"";"Galeorhinus galeus"
"29";"North Sea and Eastern Arctic";"American plaice";"Hippoglossoides platessoides";"ICES";NA;"PLA";"127137";"No TAC";"1, 2";"27_1,27_2";"";"";"Hippoglossoides platessoides"
"30";"North Sea and Eastern Arctic";"Capelin";"Mallotus villosus";"ICES";NA;"CAP";"126735";"02B.";"1, 2";"27_1,27_2";"ICES division IIb - Spitzbergen and Bear Island";"FIDES match (area >)";"Mallotus villosus"
"31";"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD";"126437";"1N2AB.";"1, 2";"27_1,27_2";"I-II (Norwegian waters)";"FIDES match";"Melanogrammus aeglefinus"
"32";"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";NA;"WHB";"126439";"1X14";"1, 2";"27_1,27_2";"";"FIDES match (area <)";"Micromesistius poutassou"
"33";"North Sea and Eastern Arctic";"Blue ling";"Molva dypterygia";"ICES";NA;"BLI";"126459";"24-";"2";"27_2";"";"FIDES match (area <)";"Molva dypterygia"
"34";"North Sea and Eastern Arctic";"Ling";"Molva molva";"ICES";NA;"LIN";"126461";"1/2.";"1, 2";"27_1,27_2";"";"FIDES match";"Molva molva"
"35";"North Sea and Eastern Arctic";"Smooth-hound";"Mustelus spp.";"ICES";NA;"CTU, CTN, CTI, CTD, CTF, CTE, CTK, CTJ, MTL, MUU, MTZ, SDP, SMD, MTR, SDS, MTE, MTM, MUP, MPT, MUW, SDV";"108006000701, 108006000702, 108006000703, 108006000704, 108006000705, 108006000706, 108006000707, 108006000708, 108006000709, 108006000710, 108006000711, 108006000712, 108006000713, 108006000714, 108006000715, 108006000716, 108006000717, 108006000718, 108006000720, 108006000721";"No TAC";"1, 2, 14";"27_1,27_2,27_14";"";"";"Mustelus antarcticus, Mustelus californicus, Mustelus canis, Mustelus dorsalis, Mustelus fasciatus, Mustelus griseus, Mustelus henlei, Mustelus higmani, Mustelus lenticulatus, Mustelus lunulatus, Mustelus manazo, Mustelus schmitti, Mustelus mustelus, Mustelus norrisi, Mustelus asterias, Mustelus mento, Mustelus mosis, Mustelus palumbes, Mustelus punctulatus, Mustelus whitneyi, Mustelus, Mustelus spp"
"36";"North Sea and Eastern Arctic";"Northern shrimp";"Pandalus borealis";"ICES";NA;"PRA";"107649";"2AC4-C";"1, 2";"27_1,27_2";"EC waters of IIa) and IV";"FIDES match but difference with area";"Pandalus borealis"
"37";"North Sea and Eastern Arctic";"Saithe";"Pollachius virens";"ICES";NA;"POK";"126441";"1/2INT,1N2AB.";"1, 2";"27_1,27_2";"I-II (International waters)";"FIDES match";"Pollachius virens"
