"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"fides_area";"area";"area_bis";"tac_area_description";"comments";"X";"X.1";"area_rdb"
"17";"Baltic Sea";"Sea trout";"Salmo trutta";"ICES";NA;"TRS";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";NA;NA;"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.227.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"18";"Baltic Sea";"Pike-perch";"Sander lucioperca";"ICES";NA;"FPP";"No TAC";"3d";"27_3_D";"";"";NA;NA;"27.3.d,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32,27.3.d.28.1,27.3.d.28.2"
"19";"Baltic Sea";"Turbot";"Scophthalmus maximus";"ICES";NA;"TUR";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";NA;NA;"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.227.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"20";"Baltic Sea";"Brill";"Scophthalmus rhombus";"ICES";NA;"BLL";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";NA;NA;"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.227.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"21";"Baltic Sea";"Sole";"Solea solea";"ICES";NA;"SOL";"No TAC";"20-24";"27_3_A_20,27_3_A_21,27_3_C_22,27_3_B_23,27_3_D_24";"";"No FIDES match";NA;NA;"27.3.a.20,27.3.a.21,27.3.c.22,27.3.b.23,27.3.d.24"
"22";"Baltic Sea";"Sprat";"Sprattus sprattus";"ICES";NA;"SPR";"3BCD-C";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"FIDES match";NA;NA;"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.227.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"23";"North Sea and Eastern Arctic";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"No TAC";"1, 2";"27_1,27_2";"";"";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"24";"North Sea and Eastern Arctic";"Greater silver smelt";"Argentina silus";"ICES";NA;"ARU";"1/2.";"1, 2, 5a, 14";"27_1,27_2,27_5_A,27_14";"";"FIDES match (area >)";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.127.5.a,27.5.a.1,27.5.a.227.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2"
"25";"North Sea and Eastern Arctic";"Tusk";"Brosme brosme";"ICES";NA;"USK";"1214EI";"1, 2";"27_1,27_2";"EC and International Waters of I-II and XIV";"FIDES match (area <)";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"26";"North Sea and Eastern Arctic";"Herring";"Clupea harengus";"ICES";NA;"HER";"1/2-";"1, 2";"27_1,27_2";"";"FIDES match";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"27";"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"1/2B.,1N2AB.";"1, 2";"27_1,27_2";"I-IIb)";"FIDES match";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"28";"North Sea and Eastern Arctic";"Tope";"Galeorhinus galeus";"ICES";NA;"GAG";"No TAC";"1, 2";"27_1,27_2";"";"";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"29";"North Sea and Eastern Arctic";"American plaice";"Hippoglossoides platessoides";"ICES";NA;"PLA";"No TAC";"1, 2";"27_1,27_2";"";"";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"30";"North Sea and Eastern Arctic";"Capelin";"Mallotus villosus";"ICES";NA;"CAP";"02B.";"1, 2";"27_1,27_2";"ICES division IIb - Spitzbergen and Bear Island";"FIDES match (area >)";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"31";"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD";"1N2AB.";"1, 2";"27_1,27_2";"I-II (Norwegian waters)";"FIDES match";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"32";"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";NA;"WHB";"1X14";"1, 2";"27_1,27_2";"";"FIDES match (area <)";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"33";"North Sea and Eastern Arctic";"Blue ling";"Molva dypterygia";"ICES";NA;"BLI";"24-";"2";"27_2";"";"FIDES match (area <)";NA;NA;"27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"34";"North Sea and Eastern Arctic";"Ling";"Molva molva";"ICES";NA;"LIN";"1/2.";"1, 2";"27_1,27_2";"";"FIDES match";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"35";"North Sea and Eastern Arctic";"Smooth-hound";"Mustelus spp.";"ICES";NA;"SKH";"No TAC";"1, 2, 14";"27_1,27_2,27_14";"";"";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.127.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2"
