"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"fides_area";"area";"area_bis";"tac_area_description";"comments";;
"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";;"HAD";"1N2AB.";"1, 2";"27_1,27_2";"I-II (Norwegian waters)";"FIDES match";;
"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";;"WHB";"1X14";"1, 2";"27_1,27_2";;"FIDES match (area <)";;
"North Sea and Eastern Arctic";"Blue ling";"Molva dypterygia";"ICES";;"BLI";"24-";2;"27_2";;"FIDES match (area <)";;
"North Sea and Eastern Arctic";"Ling";"Molva molva";"ICES";;"LIN";"1/2.";"1, 2";"27_1,27_2";;"FIDES match";;
"North Sea and Eastern Arctic";"Smooth-hound";"Mustelus spp.";"ICES";;"SKH";"No TAC";"1, 2, 14";"27_1,27_2,27_14";;;;
"North Sea and Eastern Arctic";"Northern shrimp";"Pandalus borealis";"ICES";;"PRA";"2AC4-C";"1, 2";"27_1,27_2";"EC waters of IIa) and IV";"FIDES match but difference with area";;
"North Sea and Eastern Arctic";"Saithe";"Pollachius virens";"ICES";;"POK";"1/2INT,1N2AB.";"1, 2";"27_1,27_2";"I-II (International waters)";"FIDES match";;
"North Sea and Eastern Arctic";"Greenland halibut";"Reinhardtius hippoglossoides";"ICES";;"GHL";"1/2INT";"1, 2";"27_1,27_2";"I-II (International waters)";"FIDES match";;
"North Sea and Eastern Arctic";"Salmon";"Salmo salar";"ICES";;"SAL";"No TAC";"1, 2";"27_1,27_2";;;;
"North Sea and Eastern Arctic";"Sea trout";"Salmo trutta";"ICES";;"TRS";"No TAC";"1, 2";"27_1,27_2";;;;
"North Sea and Eastern Arctic";"Mackerel";"Scomber scombrus";"ICES";;"MAC";"2A34.";2;"27_2";"IIa";"FIDES match (area <)";;
"North Sea and Eastern Arctic";"Beaked redfish";"Sebastes mentella";"ICES";;"REB";"1N2AB.";"1, 2";"27_1,27_2";;"FIDES match";;
"North Sea and Eastern Arctic";"Golden Redfish";"Sebastes norvegicus";"ICES";;"REG";"No TAC";"1, 2";"27_1,27_2";"NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures";;;
"North Sea and Eastern Arctic";"Picked dogfish";"Squalus acanthias";"ICES";;"DGS";"15X14";"all areas";"27_4,27_7_D";;"FIDES match";;
"North Sea and Eastern Arctic";"Horse mackerel";"Trachurus trachurus";"ICES";;"JAX";"2A-14";"2a";"27_2_A";"NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures";"FIDES match (area <)";;
"North Sea and Eastern Arctic";"Sand eel";"Ammodytidae";"ICES";;"SAN";"2A3A4.";"3a, 4";"27_3_A,27_4";"IIIa,   EC waters of IIa and IV";"FIDES match";;
"North Sea and Eastern Arctic";"Catfish";"Anarhichas spp";"ICES";;"CAT";"No TAC";4;"27_4";;;;
"North Sea and Eastern Arctic";"European Eel";"Anguilla anguilla";"ICES";;"ELE";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;;;
"North Sea and Eastern Arctic";"Greater silver smelt";"Argentina silus";"ICES";;"ARU";"3A4-C";"3a, 4";"27_3_A,27_4";;"FIDES match";;
"North Sea and Eastern Arctic";"Argentine";"Argentina spp";"ICES";;"ARU";"No TAC";4;"27_4";;;;
"North Sea and Eastern Arctic";"Red gurnard";"Aspitrigla cuculus";"ICES";;"GUR";"No TAC";"3a";"27_3_A";;;;
"North Sea and Eastern Arctic";"Tusk";"Brosme brosme";"ICES";;"USK";"03A.,04-C.,04-N.";"3a, 4";"27_3_A,27_4";"EU waters of IV";"FIDES match";;
"North Sea and Eastern Arctic";"Herring";"Clupea harengus";"ICES";;"HER";"03A.,03A-BC,2A47DX,4AB.,4CXB7D";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;"FIDES match";;
"North Sea and Eastern Arctic";"Roundnose grenadier";"Coryphaenoides rupestris";"ICES";;"RNG";"03-";"3a";"27_3_A";"EU and international waters of III";"FIDES match";;
"North Sea and Eastern Arctic";"Common Shrimp";"Crangon crangon";"ICES";;"CSH";"No TAC";"4, 7d";"27_4,27_7_D";;;;
"North Sea and Eastern Arctic";"Sea bass";"Dicentrarchus labrax";"ICES";;"BSS";"No TAC";"4, 7d";"27_4,27_7_D";;;;
"North Sea and Eastern Arctic";"Grey gurnard";"Eutrigla gurnardus";"ICES";;"GUG";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;;;
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";;"COD";"03AN.";"3aN";"27_3_A-4_AB_NK";"Skagerrak (Division IIIa)";"FIDES match ";;
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";;"COD";"03AS.";"3aS";"27_3_A";"Kattegat (Division IIIa)";"FIDES match";;
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";;"COD";"2A3AX4,07D.";"4, 7d";"27_4,27_7_D";"IV,   EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat, ICES division VIId - Eastern Channel";"FIDES match";;
"North Sea and Eastern Arctic";"Tope";"Galeorhinus galeus";"ICES";;"GAG";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;;;
