"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"worms_aphia_id";"fides_area";"area";"area_bis";"tac_area_description";"comments"
"Other regions";"White grouper";"Epinephelus aeneus";"CECAF";NA;"GPW";"127032";"No TAC";"34.1.3, 34.3.1, 34.3.3-6";"34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";""
"Other regions";"Bonga shad";"Ethmalosa fimbriata";"CECAF";NA;"BOA";"280725";"No TAC";"34.3.1, 34.3.3-6";"34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";""
"Other regions";"Great lanternshark";"Etmopterus princeps";"CECAF";NA;"ETR";"105911";"No TAC";"34.1.1, 34.1.2, 34.2";"34_1_1,34_1_2,34_2";"";""
"Other regions";"Velvet belly";"Etmopterus spinax";"CECAF";NA;"ETX";"105913";"No TAC";"34.1.1, 34.1.2, 34.2";"34_1_1,34_1_2,34_2";"";""
"Other regions";"Southern pink shrimp";"Farfantepenaeus notialis";"CECAF";NA;"SOP";"234119";"No TAC";"All areas";"34";"";""
"Other regions";"Lesser African threadfin";"Galeoides decadactylus";"CECAF";NA;"GAL";"126997";"No TAC";"34.1.3, 34.3.1, 34.3.3-6";"34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";""
"Other regions";"Mouse catshark";"Galeus murinus";"CECAF";NA;"GAM";"105813";"No TAC";"34.1.1, 34.1.2, 34.2";"34_1_1,34_1_2,34_2";"";""
"Other regions";"Bluntnose sixgill shark";"Hexanchus griseus";"CECAF";NA;"SBL";"105833";"No TAC";"34.1.1, 34.1.2, 34.2";"34_1_1,34_1_2,34_2";"";""
"Other regions";"Common squid";"Loligo vulgaris";"CECAF";NA;"SQR";"140271";"No TAC";"All areas";"34";"";""
"Other regions";"Benguela hake";"Merluccius polli";"CECAF";NA;"HKB";"272457";"No TAC";"All areas";"34";"";""
"Other regions";"Senegalese hake";"Merluccius senegalensis";"CECAF";NA;"HKM";"126485";"No TAC";"All areas";"34";"";""
"Other regions";"Common octopus";"Octopus vulgaris";"CECAF";NA;"OCC";"140605";"No TAC";"All areas";"34";"";""
"Other regions";"Sailfin roughshark (Sharpback shark)";"Oxynotus paradoxus";"CECAF";NA;"OXN";"105915";"No TAC";"34.1.1, 34.1.2, 34.2";"34_1_1,34_1_2,34_2";"";""
"Other regions";"axillary sea bream";"Pagellus acarne";"CECAF";NA;"SBA";"127057";"No TAC";"34.1.1";"34_1_1";"";""
"Other regions";"Red pandora";"Pagellus bellottii";"CECAF";NA;"PAR";"127058";"No TAC";"All areas";"34";"";""
"Other regions";"Blue spotted sea bream";"Pagrus caeruleostictus";"CECAF";NA;"BSC";"127062";"No TAC";"All areas";"34";"";""
"Other regions";"Deepwater rose shrimp";"Parapenaeus longirostris";"CECAF";NA;"DPS";"107109";"No TAC";"All areas";"34";"";""
"Other regions";"Grunt";"Pomadasys stridens, Pomadasys commersonnii, Pomadasys argenteus, Pomadasys maculatus, Pomadasys olivaceus, Pomadasys opercularis, Pomadasys bayanus, Pomadasys branickii, Pomadasys crocro, Pomadasys macracanthus, Pomadasys incisus, Pomadasys jubelini, Pomadasys perotaei, Pomadasys multimaculatum, Pomadasys suillus, Pomadasys kaakan, Pomadasys panamensis, Pomadasys rogerii, Pomadasys argyreus, Pomadasys furcatus, Pomadasys taeniatus, Pomadasys corvinaeformis, Pomadasys, Pomadasys spp";"CECAF";NA;"PKS, HDH, GRL, PKL, PKV, PKO, PBJ, PBI, PKR, PKN, BGR, BUR, PKE, PKT, PKK, KAH, YSZ, BGZ, QCZ, QCY, QDA, OWC, BGX";"170036020901, 170036020903, 170036020904, 170036020905, 170036020907, 170036020908, 170036020910, 170036020911, 170036020912, 170036020915, 170036020918, 170036020919, 170036020920, 170036020921, 170036020922, 170036020923, 170036020924, 170036020925, 170036020926, 170036020927, 170036020928, 170036020929";"No TAC";"All areas";"34";"";""
"Other regions";"West African croakers";"Pseudotolithus senegallus, Pseudotolithus senegalensis, Pseudotolithus typus, Pseudotolithus moorii, Pseudotolithus elongatus, Pseudotolithus epipercus, Pseudotolithus, Pseudotolithus spp";"CECAF";NA;"CKL, PSS, PTY, UDM, PSE, QCK, CKW";"170037045701, 170037045702, 170037045703, 170037045704, 170037045705, 170037045706";"No TAC";"34.1.1";"34_1_1";"";""
"Other regions";"Sardine";"Sardina pilchardus";"CECAF";NA;"PIL";"126421";"No TAC";"34.1.1, 34.1.3";"34_1_1,34_1_3";"";""
"Other regions";"Round sardinella";"Sardinella aurita";"CECAF";NA;"SAA";"126422";"No TAC";"All areas";"34";"";""
"Other regions";"Short-body sardinella";"Sardinella maderensis";"CECAF";NA;"SAE";"126423";"No TAC";"All areas";"34";"";""
"Other regions";"Chub mackerel";"Scomber colias";"CECAF";NA;"VMA";"151174";"No TAC";"All areas";"34";"";""
"Other regions";"Knifetooth dogfish";"Scymnodon ringens";"CECAF";NA;"SYR";"105918";"No TAC";"34.1.1, 34.1.2, 34.2";"34_1_1,34_1_2,34_2";"";""
"Other regions";"Cuttlefish";"Sepia hierredda";"CECAF";NA;"CVT";"342138";"No TAC";"All areas";"34";"";""
"Other regions";"Common cuttlefish";"Sepia officinalis";"CECAF";NA;"CTC";"141444";"No TAC";"All areas";"34";"";""
"Other regions";"Porgies, seabreams nei";"Sparidae";"CECAF";NA;"SBX";"125564";"No TAC";"34.1.1";"34_1_1";"";""
"Other regions";"Horse mackerel";"Trachurus trachurus, Trachurus picturatus, Trachurus japonicus, Trachurus murphyi, Trachurus symmetricus, Trachurus mediterraneus, Trachurus lathami, Trachurus capensis, Trachurus trecae, Trachurus declivis, Trachurus delagoa, Trachurus indicus, Trachurus novaezelandiae, Trachurus, Trachurus spp";"CECAF";NA;"HOM, JAA, JJM, CJM, PJM, HMM, RSC, HMC, HMZ, HMG, TUD, TUJ, TUZ, JAX";"170023000401, 170023000402, 170023000403, 170023000405, 170023000406, 170023000408, 170023000411, 170023000413, 170023000414, 170023000415, 170023000416, 170023000417, 170023000418";"No TAC";"All areas";"34";"";""
"Other regions";"Jack mackerel";"Trachurus murphyi";"SPRFMO";NA;"CJM";"273303";"SPRFMO";"All areas";"81.870000000000005";"";"FIDES match"
"Other regions";"Wahoo";"Acanthocybium solandri";"ICCAT";NA;"WAH";"127014";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Bigeye thresher shark";"Alopias superciliosus";"ICCAT";NA;"BTH";"105835";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Common thresher shark";"Alopias vulpinus";"ICCAT";NA;"ALV";"105836";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Bullet tuna";"Auxis rochei";"ICCAT";NA;"BLT";"127015";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Frigate tuna";"Auxis thazard";"ICCAT";NA;"FRZ";"127016";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Silky shark";"Carcharhinus falciformis";"ICCAT";NA;"FAL";"105789";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Oceanic whitetip shark";"Carcharhinus longimanus";"ICCAT";NA;"OCS";"105794";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Requiem sharks";"Carcharhinus acronotus, Carcharhinus albimarginatus, Carcharhinus altimus, Carcharhinus amblyrhynchoides, Carcharhinus amblyrhynchos, Carcharhinus amboinensis, Carcharhinus borneensis, Carcharhinus brachyurus, Carcharhinus brevipinna, Carcharhinus cautus, Carcharhinus dussumieri, Carcharhinus falciformis, Carcharhinus fitzroyensis, Carcharhinus galapagensis, Carcharhinus hemiodon, Carcharhinus isodon, Carcharhinus leiodon, Carcharhinus leucas, Carcharhinus limbatus, Carcharhinus longimanus, Carcharhinus macloti, Carcharhinus melanopterus, Carcharhinus obscurus, Carcharhinus perezi, Carcharhinus plumbeus, Carcharhinus porosus, Carcharhinus sealei, Carcharhinus signatus, Carcharhinus sorrah, Carcharhinus tilstoni, Carcharhinus, Carcharhinus spp";"ICCAT";NA;"CCN, ALS, CCA, CCY, AML, CCF, CCX, BRO, CCB, CCC, CCD, FAL, CCZ, CCG, CCK, CCO, CCJ, CCE, CCL, OCS, CCM, BLR, DUS, CCV, CCP, CCR, CCI, CCS, CCQ, CCU, CWZ";"108008000101, 108008000102, 108008000103, 108008000104, 108008000105, 108008000106, 108008000107, 108008000108, 108008000109, 108008000110, 108008000111, 108008000112, 108008000113, 108008000114, 108008000115, 108008000116, 108008000117, 108008000118, 108008000119, 108008000120, 108008000121, 108008000122, 108008000123, 108008000124, 108008000125, 108008000126, 108008000127, 108008000128, 108008000129, 108008000130";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Dolphinfish";"Coryphaena hippurus";"ICCAT";NA;"DOL";"126846";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Atlantic black skipjack";"Euthynnus alletteratus";"ICCAT";NA;"LTA";"127017";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Sailfish";"Istiophorus albicans";"ICCAT";NA;"SAI";"126949";"AE45W,AW45W";"All areas";"21,31,27,34,37";"";"FIDES match"
"Other regions";"Shortfin mako";"Isurus oxyrinchus";"ICCAT";NA;"SMA";"105839";"AN05N";"All areas";"21,31,27,34,37";"";"FIDES match"
"Other regions";"Longfin mako shark";"Isurus paucus";"ICCAT";NA;"LMA";"105840";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"White marlin";"Kajikia albida";"ICCAT";NA;"WHM";"712906";"ATLANT";"All areas";"21,31,27,34,37";"";""
"Other regions";"Skipjack tuna";"Katsuwonus pelamis";"ICCAT";NA;"SKJ";"127018";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Porbeagle";"Lamna nasus";"ICCAT";NA;"POR";"105841";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Blue marlin, Pacific blue marlin";"Makaira nigricans, Makaira mazara";"ICCAT";NA;"BUM, BLZ";"126950, 219729";"ATLANT";"All areas";"21,31,27,34,37";"";"FIDES match"
"Other regions";"Mobulidae-manta rays";"Mobula alfredi, Mobula birostris, Mobula eregoodoo, Mobula hypostoma, Mobula kuhlii, Mobula mobular, Mobula munkiana, Mobula rochebrunei, Mobula tarapacana, Mobula thurstoni, Mobula, Mobula spp";"ICCAT";NA;"RMA, RMB, RME, RMH, RMK, RMM, RMU, RMN, RMT, RMO, RMV";"110812000101, 110812000102, 110812000103, 110812000104, 110812000105, 110812000106, 110812000107, 110812000108, 110812000109, 110812000110";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Plain bonito";"Orcynopsis unicolor";"ICCAT";NA;"BOP";"127019";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Blue shark";"Prionace glauca";"ICCAT";NA;"BSH";"105801";"AN05N, AS05N";"All areas";"21,31,27,34,37";"";"FIDES match"
"Other regions";"Whale shark";"Rhincodon typus";"ICCAT";NA;"RHN";"105847";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Atlantic bonito";"Sarda sarda";"ICCAT";NA;"BON";"127021";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Serra Spanish mackerel";"Scomberomorus brasiliensis";"ICCAT";NA;"BRS";"273811";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"King mackerel";"Scomberomorus cavalla";"ICCAT";NA;"KGM";"159340";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Atlantic Spanish mackerel";"Scomberomorus maculatus";"ICCAT";NA;"SSM";"159342";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Cero";"Scomberomorus regalis";"ICCAT";NA;"CER";"273819";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"West African Spanish mackerel";"Scomberomorus tritor";"ICCAT";NA;"MAW";"127025";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Scalopped hammerhead shark";"Sphyrna lewini";"ICCAT";NA;"SPL";"105816";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Great hammerhead shark";"Sphyrna mokarran";"ICCAT";NA;"SPK";"105817";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Smooth hammerhead shark";"Sphyrna zygaena";"ICCAT";NA;"SPZ";"105819";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Mediterranean spearfish";"Tetrapturus belone";"ICCAT";NA;"MSP";"126952";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Roundscale spearfish";"Tetrapturus georgii";"ICCAT";NA;"RSP";"126953";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Longbill spearfish";"Tetrapturus pfluegeri";"ICCAT";NA;"SPF";"126954";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Albacore tuna";"Thunnus alalunga";"ICCAT";NA;"ALB";"127026";"AS05N,AN05N";"All areas";"31, 34, 41, 47";"";"FIDES match"
"Other regions";"Yellowfin tuna";"Thunnus albacares";"ICCAT";NA;"YFT";"127027";"ATLANT";"All areas";"21,27, 37";"";"FIDES match"
"Other regions";"Blackfin tuna";"Thunnus atlanticus";"ICCAT";NA;"BLF";"159343";"No TAC";"All areas";"21,31,27,34,37";"";""
"Other regions";"Bigeye tuna";"Thunnus obesus";"ICCAT";NA;"BET";"127028";"ATLANT";"All areas";"21,31,27,34,37";"";"FIDES match"
"Other regions";"Bluefin tuna";"Thunnus thynnus";"ICCAT";NA;"BFT";"127029";"AE45WM,AVARCH";"All areas";"31,27,34,37,47";"";"FIDES match"
"Other regions";"Swordfish";"Xiphias gladius";"ICCAT";NA;"SWO";"127094";"AN05N,AS05N,MED";"All areas";"21,31,27,34,37";"";"FIDES match"
"Other regions";"Wahoo";"Acanthocybium solandri";"IOTC";NA;"WAH";"127014";"No TAC";"All areas";"51.57";"";""
"Other regions";"Pelagic thresher shark";"Alopias pelagicus";"IOTC";NA;"PTH";"220019";"No TAC";"All areas";"51.57";"";""
"Other regions";"Bigeye thresher shark";"Alopias superciliosus";"IOTC";NA;"BTH";"105835";"No TAC";"All areas";"51.57";"";""
"Other regions";"Bullet tuna";"Auxis rochei";"IOTC";NA;"BLT";"127015";"No TAC";"All areas";"51.57";"";""
"Other regions";"Frigate tuna";"Auxis thazard";"IOTC";NA;"FRZ";"127016";"No TAC";"All areas";"51.57";"";""
"Other regions";"Silky shark";"Carcharhinus falciformis";"IOTC";NA;"FAL";"105789";"No TAC";"All areas";"51.57";"";""
"Other regions";"Oceanic whitetip shark";"Carcharhinus longimanus";"IOTC";NA;"OCS";"105794";"No TAC";"All areas";"51.57";"";""
"Other regions";"Requiem sharks";"Carcharhinus acronotus, Carcharhinus albimarginatus, Carcharhinus altimus, Carcharhinus amblyrhynchoides, Carcharhinus amblyrhynchos, Carcharhinus amboinensis, Carcharhinus borneensis, Carcharhinus brachyurus, Carcharhinus brevipinna, Carcharhinus cautus, Carcharhinus dussumieri, Carcharhinus falciformis, Carcharhinus fitzroyensis, Carcharhinus galapagensis, Carcharhinus hemiodon, Carcharhinus isodon, Carcharhinus leiodon, Carcharhinus leucas, Carcharhinus limbatus, Carcharhinus longimanus, Carcharhinus macloti, Carcharhinus melanopterus, Carcharhinus obscurus, Carcharhinus perezi, Carcharhinus plumbeus, Carcharhinus porosus, Carcharhinus sealei, Carcharhinus signatus, Carcharhinus sorrah, Carcharhinus tilstoni, Carcharhinus, Carcharhinus spp";"IOTC";NA;"CCN, ALS, CCA, CCY, AML, CCF, CCX, BRO, CCB, CCC, CCD, FAL, CCZ, CCG, CCK, CCO, CCJ, CCE, CCL, OCS, CCM, BLR, DUS, CCV, CCP, CCR, CCI, CCS, CCQ, CCU, CWZ";"108008000101, 108008000102, 108008000103, 108008000104, 108008000105, 108008000106, 108008000107, 108008000108, 108008000109, 108008000110, 108008000111, 108008000112, 108008000113, 108008000114, 108008000115, 108008000116, 108008000117, 108008000118, 108008000119, 108008000120, 108008000121, 108008000122, 108008000123, 108008000124, 108008000125, 108008000126, 108008000127, 108008000128, 108008000129, 108008000130";"No TAC";"All areas";"51.57";"";""
"Other regions";"Dolphinfish";"Coryphaena hippurus";"IOTC";NA;"DOL";"126846";"No TAC";"All areas";"51.57";"";""
"Other regions";"Kawakawa";"Euthynnus affinis";"IOTC";NA;"KAW";"219708";"No TAC";"All areas";"51.57";"";""
"Other regions";"Black marlin";"Istiompax indica";"IOTC";NA;"BLM";"712905";"No TAC";"All areas";"51.57";"";""
"Other regions";"Indo-Pacific sailfish";"Istiophorus platypterus";"IOTC";NA;"SFA";"158812";"No TAC";"All areas";"51.57";"";""
"Other regions";"Shortfin mako";"Isurus oxyrinchus";"IOTC";NA;"SMA";"105839";"No TAC";"All areas";"51.57";"";""
"Other regions";"Longfin mako shark";"Isurus paucus";"IOTC";NA;"LMA";"105840";"No TAC";"All areas";"51.57";"";""
"Other regions";"Skipjack tuna";"Katsuwonus pelamis";"IOTC";NA;"SKJ";"127018";"No TAC";"All areas";"51.57";"";""
"Other regions";"Porbeagle";"Lamna nasus";"IOTC";NA;"POR";"105841";"No TAC";"All areas";"51.57";"";""
"Other regions";"Blue marlin, Pacific blue marlin";"Makaira nigricans, Makaira mazara";"IOTC";NA;"BUM, BLZ";"126950, 219729";"No TAC";"All areas";"51.57";"";""
"Other regions";"Mobulidae-manta rays";"Mobula alfredi, Mobula birostris, Mobula eregoodoo, Mobula hypostoma, Mobula kuhlii, Mobula mobular, Mobula munkiana, Mobula rochebrunei, Mobula tarapacana, Mobula thurstoni, Mobula, Mobula spp";"IOTC";NA;"RMA, RMB, RME, RMH, RMK, RMM, RMU, RMN, RMT, RMO, RMV";"110812000101, 110812000102, 110812000103, 110812000104, 110812000105, 110812000106, 110812000107, 110812000108, 110812000109, 110812000110";"No TAC";"All areas";"51.57";"";""
"Other regions";"Blue shark";"Prionace glauca";"IOTC";NA;"BSH";"105801";"No TAC";"All areas";"51.57";"";""
"Other regions";"Whale shark";"Rhincodon typus";"IOTC";NA;"RHN";"105847";"No TAC";"All areas";"51.57";"";""
"Other regions";"Indo-Pacific king mackerel";"Scomberomorus guttatus";"IOTC";NA;"GUT";"219716";"No TAC";"All areas";"51.57";"";""
"Other regions";"Narrow-barred Spanish mackerel";"Scomberomorus commerson";"IOTC";NA;"COM";"127024";"No TAC";"All areas";"51.57";"";""
"Other regions";"Longtail tuna";"Thunnus tonggol";"IOTC";NA;"LOT";"219722";"No TAC";"All areas";"51.57";"";""
"Other regions";"Scalloped hammerhead shark";"Sphyrna lewini";"IOTC";NA;"SPL";"105816";"No TAC";"All areas";"51.57";"";""
"Other regions";"Great hammerhead shark";"Sphyrna mokarran";"IOTC";NA;"SPK";"105817";"No TAC";"All areas";"51.57";"";""
"Other regions";"Smooth hammerhead shark";"Sphyrna zygaena";"IOTC";NA;"SPZ";"105819";"No TAC";"All areas";"51.57";"";""
"Other regions";"Striped marlin";"Tetrapturus audax";"IOTC";NA;"MLS";"219733";"No TAC";"All areas";"51.57";"";""
"Other regions";"Shortbill spearfish";"Tetrapturus angustirostris";"IOTC";NA;"SSP";"219734";"No TAC";"All areas";"51.57";"";""
"Other regions";"Albacore tuna";"Thunnus alalunga";"IOTC";NA;"ALB";"127026";"No TAC";"All areas";"51.57";"";""
"Other regions";"Yellowfin tuna";"Thunnus albacares";"IOTC";NA;"YFT";"127027";"IOTC";"All areas";"51.57";"";"FIDES match"
"Other regions";"Bigeye tuna";"Thunnus obesus";"IOTC";NA;"BET";"127028";"No TAC";"All areas";"51.57";"";""
"Other regions";"Swordfish";"Xiphias gladius";"IOTC";NA;"SWO";"127094";"No TAC";"All areas";"51.57";"";""
"Other regions";"Pelagic thresher";"Alopias pelagicus";"WCPFC";NA;"PTH";"220019";"No TAC";"All areas";"71";"";""
"Other regions";"big eye thresher";"Alopias superciliosus";"WCPFC";NA;"BTH";"105835";"No TAC";"All areas";"71";"";""
"Other regions";"Common thresher";"Alopias vulpinus";"WCPFC";NA;"ALV";"105836";"No TAC";"All areas";"71";"";""
"Other regions";"Silky shark";"Carcharhinus falciformis";"WCPFC";NA;"FAL";"105789";"No TAC";"All areas";"71";"";""
"Other regions";"Oceanic whitetip shark";"Carcharhinus longimanus";"WCPFC";NA;"OCS";"105794";"No TAC";"All areas";"71";"";""
"Other regions";"Black marlin";"Istiompax indica";"WCPFC";NA;"BLM";"712905";"No TAC";"All areas";"71";"";""
"Other regions";"Shortfin mako shark";"Isurus oxyrinchus";"WCPFC";NA;"SMA";"105839";"AN05N";"All areas";"71";"";"FIDES match"
"Other regions";"Longfin mako shark";"Isurus paucus";"WCPFC";NA;"LMA";"105840";"No TAC";"All areas";"71";"";""
"Other regions";"Skipjack tuna";"Katsuwonus pelamis";"WCPFC";NA;"SKJ";"127018";"No TAC";"All areas";"71";"";""
"Other regions";"Porbeagle";"Lamna nasus";"WCPFC";NA;"POR";"105841";"No TAC";"All areas";"71";"";""
"Other regions";"Blue marlin, Pacific blue marlin";"Makaira nigricans, Makaira mazara";"WCPFC";NA;"BUM, BLZ";"126950, 219729";"No TAC";"All areas";"71";"";""
"Other regions";"Blue shark";"Prionace glauca";"WCPFC";NA;"BSH";"105801";"No TAC";"All areas";"71";"";""
"Other regions";"Whale shark";"Rhincodon typus";"WCPFC";NA;"RHN";"105847";"No TAC";"All areas";"71";"";""
"Other regions";"Scalopped hammerhead shark";"Sphyrna lewini";"WCPFC";NA;"SPL";"105816";"No TAC";"All areas";"71";"";""
"Other regions";"Great hammerhead shark";"Sphyrna mokarran";"WCPFC";NA;"SPK";"105817";"No TAC";"All areas";"71";"";""
"Other regions";"Smooth hammerhead shark";"Sphyrna zygaena";"WCPFC";NA;"SPZ";"105819";"No TAC";"All areas";"71";"";""
"Other regions";"Striped marlin";"Tetrapturus audax";"WCPFC";NA;"MLS";"219733";"No TAC";"All areas";"71";"";""
"Other regions";"Albacore tuna";"Thunnus alalunga";"WCPFC";NA;"ALB";"127026";"No TAC";"All areas";"71";"";""
"Other regions";"Yellowfin tuna";"Thunnus albacares";"WCPFC";NA;"YFT";"127027";"No TAC";"All areas";"71";"";""
"Other regions";"Bigeye tuna";"Thunnus obesus";"WCPFC";NA;"BET";"127028";"F7120S";"All areas";"71";"";"FIDES match"
"Other regions";"Pacific bluefin tuna";"Thunnus orientalis";"WCPFC";NA;"PBF";"273823";"No TAC";"All areas";"71";"";""
"Other regions";"Swordfish";"Xiphias gladius";"WCPFC";NA;"SWO";"127094";"F7120S";"All areas";"71";"";"FIDES match"
"Other regions";"Mobulidae-manta rays";"Mobula alfredi, Mobula birostris, Mobula eregoodoo, Mobula hypostoma, Mobula kuhlii, Mobula mobular, Mobula munkiana, Mobula rochebrunei, Mobula tarapacana, Mobula thurstoni, Mobula, Mobula spp";"WCPFC";NA;"RMA, RMB, RME, RMH, RMK, RMM, RMU, RMN, RMT, RMO, RMV";"110812000101, 110812000102, 110812000103, 110812000104, 110812000105, 110812000106, 110812000107, 110812000108, 110812000109, 110812000110";"No TAC";"All areas";"71";"";""
"Other regions";"Silky shark";"Carcharhinus falciformis";"IATTC";NA;"FAL";"105789";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Oceanic whitetip shark";"Carcharhinus longimanus";"IATTC";NA;"OCS";"105794";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Black marlin";"Istiompax indica";"IATTC";NA;"BLM";"712905";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Mako sharks";"Isurus oxyrinchus, Isurus paucus, Isurus, Isurus spp";"IATTC";NA;"SMA, LMA, MAK";"106008000201, 106008000202";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Skipjack tuna";"Katsuwonus pelamis";"IATTC";NA;"SKJ";"127018";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Porbeagle";"Lamna nasus";"IATTC";NA;"POR";"105841";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Blue marlin, Pacific blue marlin";"Makaira nigricans, Makaira mazara";"IATTC";NA;"BUM, BLZ";"126950, 219729";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Whale shark";"Rhincodon typus";"IATTC";NA;"RHN";"105847";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Scalopped hammerhead shark";"Sphyrna lewini";"IATTC";NA;"SPL";"105816";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Great hammerhead shark";"Sphyrna mokarran";"IATTC";NA;"SPK";"105817";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Smooth hammerhead shark";"Sphyrna zygaena";"IATTC";NA;"SPZ";"105819";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Striped marlin";"Tetrapturus audax";"IATTC";NA;"MLS";"219733";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Albacore tuna";"Thunnus alalunga";"IATTC";NA;"ALB";"127026";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Yellowfin tuna";"Thunnus albacares";"IATTC";NA;"YFT";"127027";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Bigeye tuna";"Thunnus obesus";"IATTC";NA;"BET";"127028";"IATTC";"All areas";"77, 87";"";"FIDES match"
"Other regions";"Pacific bluefin tuna";"Thunnus orientalis";"IATTC";NA;"PBF";"273823";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Swordfish";"Xiphias gladius";"IATTC";NA;"SWO";"127094";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Mobulidae-manta rays";"Mobula alfredi, Mobula birostris, Mobula eregoodoo, Mobula hypostoma, Mobula kuhlii, Mobula mobular, Mobula munkiana, Mobula rochebrunei, Mobula tarapacana, Mobula thurstoni, Mobula, Mobula spp";"IATTC";NA;"RMA, RMB, RME, RMH, RMK, RMM, RMU, RMN, RMT, RMO, RMV";"110812000101, 110812000102, 110812000103, 110812000104, 110812000105, 110812000106, 110812000107, 110812000108, 110812000109, 110812000110";"No TAC";"All areas";"77, 87";"";""
"Other regions";"Acoupa weakfish";"Cynoscion acoupa";"WECAFC";NA;"YNA";"276074";"No TAC";"Northern Brazil shelf";"31";"";""
"Other regions";"Red hind";"Epinephelus guttatus";"WECAFC";NA;"EEU";"159352";"No TAC";"All areas";"31";"";""
"Other regions";"Southern brown shrimp";"Farfantepenaeus subtilis";"WECAFC";NA;"PNU";"377433";"No TAC";"Northern Brazil shelf";"31";"";""
"Other regions";"Flying fish";"Hirundichthys affinis";"WECAFC";NA;"FFV";"159265";"No TAC";"All areas";"31";"";""
"Other regions";"Queen conch";"Lobatus gigas";"WECAFC";NA;"COO";"564730";"No TAC";"All areas";"31";"";""
"Other regions";"Blackfin snapper";"Lutjanus buccanella";"WECAFC";NA;"LJU";"159794";"No TAC";"All areas";"31";"";""
"Other regions";"Red snapper";"Lutjanus campechanus";"WECAFC";NA;"SNR";"159795";"No TAC";"All areas";"31";"";""
"Other regions";"Southern red snapper";"Lutjanus purpureus";"WECAFC";NA;"SNC";"276547";"No TAC";"Northern Brazil shelf";"31";"";""
"Other regions";"Silk snapper";"Lutjanus vivanus";"WECAFC";NA;"LTJ";"159801";"No TAC";"All areas";"31";"";""
"Other regions";"Caribbean spiny lobster";"Panulirus argus";"WECAFC";NA;"SLC,SNA";"382891";"No TAC";"All areas";"31";"";""
"Other regions";"Alfonsinos";"Beryx decadactylus, Beryx splendens, Beryx, Beryx spp";"SEAFO";NA;"BXD, BYS, ALF";"161002000301, 161002000302";"SEAFO";"All areas";"47";"";"FIDES match"
